City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,aleksandrov gay,50.147,48.5704,39.94,79,100,16.04,RU,1668726868
305,iqaluit,63.7506,-68.5145,-3.8,99,25,5.64,CA,1668726747
306,khandyga,62.6667,135.6,-21.08,89,95,2.21,RU,1668726869
307,san luis,-33.295,-66.3356,83.43,29,3,8.68,AR,1668726870
308,tambura,5.6,27.4667,72.66,61,15,2.35,SS,1668726870
309,cayenne,4.9333,-52.3333,80.64,78,20,4.61,GF,1668726631
310,riyadh,24.6877,46.7219,68.14,25,22,10.27,SA,1668726585
311,high rock,26.6208,-78.2833,75.22,76,98,19.98,BS,1668726871
312,san jose,37.3394,-121.895,67.82,38,75,8.05,US,1668726669
313,longyearbyen,78.2186,15.6401,24.64,80,75,5.75,SJ,1668726872
314,mmathubudukwane,-24.6,26.4333,78.55,33,12,3.62,BW,1668726873
315,oranjestad,12.524,-70.027,80.55,91,40,14.97,AW,1668726874
316,fukue,32.6881,128.8419,63.79,60,63,14.43,JP,1668726874
317,machachi,-0.5,-78.5667,55.76,91,95,1.54,EC,1668726875
318,darhan,49.4867,105.9228,25.45,62,100,15.43,MN,1668726875
319,sale,34.0389,-6.8166,65.08,94,75,3.44,MA,1668726875
320,zhuzhou,27.8333,113.15,61.29,89,99,3.74,CN,1668726876
321,maragogi,-9.0122,-35.2225,76.66,85,61,8.93,BR,1668726846
322,kutum,14.2,24.6667,62.01,30,0,7.96,SD,1668726877
323,malakal,9.5334,31.6605,76.6,33,3,5.41,SS,1668726877
324,griffith,41.5284,-87.4237,32.49,80,100,20.71,US,1668726717
325,fujin,47.26,132.0322,28.92,96,100,3.47,CN,1668726878
326,churapcha,62.0025,132.4325,-13.02,91,100,5.17,RU,1668726878
327,puerto lempira,15.2667,-83.7667,80.74,78,75,11.5,HN,1668726878
328,pelym,61.0108,61.9978,-2.52,93,10,4.45,RU,1668726879
329,shellbrook,53.2168,-106.4011,9.03,86,89,8.59,CA,1668726879
330,helena,46.5927,-112.0361,17.17,61,100,4.61,US,1668726880
331,pinawa,50.1489,-95.8811,17.87,81,100,8.63,CA,1668726880
332,platanos,37.6667,21.6167,63.09,87,99,5.32,GR,1668726881
333,balikpapan,-1.2675,116.8289,76.19,94,75,5.75,ID,1668726881
334,kavaratti,10.5669,72.642,81.73,71,7,8.5,IN,1668726792
335,ban dung,17.699,103.2596,75.99,99,24,5.73,TH,1668726882
336,vostok,46.4856,135.8833,22.28,87,100,3.15,RU,1668726882
337,port hardy,50.6996,-127.4199,46.81,59,3,6.69,CA,1668726883
338,belmonte,-15.8631,-38.8828,75.49,90,100,4.56,BR,1668726816
339,waterloo,43.4668,-80.5164,30.72,95,84,7.05,CA,1668726602
340,peniche,39.3558,-9.3811,60.57,88,90,15.66,PT,1668726601
341,portobelo,9.55,-79.65,78.04,89,100,6.24,PA,1668726885
342,russell,32.3502,-85.1999,47.8,42,20,5.75,US,1668726885
343,opuwo,-18.0607,13.84,70.38,52,34,4.74,NA,1668726885
344,fairbanks,64.8378,-147.7164,20.61,87,0,0.0,US,1668726688
345,acapulco,16.8634,-99.8901,84.02,74,75,5.75,MX,1668726680
346,porto novo,6.4965,2.6036,77.83,82,49,5.64,BJ,1668726716
347,venezuela,8.0,-66.0,78.31,85,100,6.55,VE,1668726886
348,muros,42.7762,-9.0603,51.1,95,17,4.47,ES,1668726887
349,touros,-5.1989,-35.4608,78.66,73,35,14.92,BR,1668726887
350,hovd,48.0056,91.6419,18.73,37,90,5.61,MN,1668726888
351,zeya,53.75,127.2667,13.32,96,100,3.51,RU,1668726812
352,the valley,18.217,-63.0578,81.1,71,6,18.88,AI,1668726888
353,merritt island,28.5392,-80.672,63.03,64,0,10.36,US,1668726660
354,tandalti,13.0167,31.8667,72.81,19,2,12.01,SD,1668726889
355,kayerkan,69.3497,87.7602,-3.48,84,100,20.2,RU,1668726890
356,zemio,5.0314,25.1361,68.99,78,13,2.51,CF,1668726681
357,saint-pierre,-21.3393,55.4781,69.48,60,0,9.22,RE,1668726890
358,graaff-reinet,-32.2522,24.5308,58.93,80,100,1.95,ZA,1668726891
359,nova aurora,-22.8667,-52.5667,70.83,45,0,7.25,BR,1668726639
360,karratha,-20.7377,116.8463,68.72,53,0,17.38,AU,1668726891
361,portland,45.5234,-122.6762,49.6,53,0,26.46,US,1668726765
